latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:city:en,addr:country,addr:postcode,addr:street,amenity,building,building:levels,name,office,addr:housenumber,contact:phone,cuisine,designation,email,internet_access,name:en,operator,phone,website,wheelchair,addr:housename,alt_name,int_name,addr:street:en,layer,outdoor_seating,smoking,payment:american_express,payment:coins,payment:diners_club,payment:maestro,payment:mastercard,payment:notes,payment:visa,fax,takeaway,roof:shape,tourism,name:nl,name:tr,shop,delivery,capacity,is_in,old_name,name:mk,leisure,microbrewery,nam:en,wheelchair:description,level,sells:ice_cream,opening_hours:covid19,internet_access:fee,payment:visa_electron,description,addr:housename:en,payment:debit_cards,kitchen,air_conditioning,image,reservation,start_date,diet:vegan,phone:1,phone:2,payment:cash,payment:credit_cards,diet:sugar_free,diet:vegetarian,changing_table,changing_table:fee,toilets,toilets:access,toilets:wheelchair,entrance,opening_hours
,,,Polygon,"21.4137534,42.0081629,21.4137189,42.0081185,21.4140051,42.007986,21.4140976,42.0081046,21.4142001,42.0080639,21.4143702,42.0083134,21.4142343,42.0083552,21.4141244,42.0083535,21.4139687,42.0083303,21.4137721,42.0082823,21.413727,42.0082362,21.4137534,42.0081629",way/177045374,Cкoпje,Skopje,MK,1000,Булевар Илинден,restaurant,,,Ресторан Маргер,,,,regional,,,,,,+389 78 685 086;+389 23 067 428,http://www.marger.com.mk,,,,,,,,,,,,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08:00-24:00, Fr-Sa 08:00-01:00"
,,,Polygon,"21.409757,42.0853527,21.4096121,42.085062,21.4095891,42.0849446,21.4096121,42.0848709,21.4100611,42.0848052,21.4102344,42.0852093,21.409757,42.0853527",way/183590615,,,,,,restaurant,,,Национален Ресторан Чардак,,,,macedonian,,,,National Restaurant Chardak,,,,,,,Nacionalen Restoran Čardak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4098534,42.0866127,21.4104912,42.0861081,21.4106449,42.0860424,21.4109961,42.0859737,21.4114183,42.0858961,21.4115219,42.0858861,21.4115617,42.0860382,21.4116345,42.0863161,21.4114364,42.0866715,21.4110853,42.0865555,21.4107184,42.0863483,21.4101319,42.0867721,21.4098534,42.0866127",way/183593157,,,,,,restaurant,,,Вила Весница,,,,macedonian,,,,Vila Vesnica,,,,,,,Vila Vesnica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4280676,41.9965143,21.428047,41.9964534,21.4280237,41.9964577,21.4279895,41.9963567,21.4281268,41.9963311,21.4281815,41.996493,21.4280676,41.9965143",way/189975234,Cкoпje,Skopje,MK,1000,,restaurant,yes,,,,,,,,,,Cafe Gorki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4465442,41.9892968,21.4464958,41.9892457,21.4467156,41.9891306,21.446764,41.9891817,21.4465442,41.9892968",way/236539239,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Рулет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.426047,42.0015902,21.4259955,42.0016166,21.4259656,42.0015845,21.4259879,42.001573,21.4260987,42.0015163,21.4261793,42.0016032,21.4260978,42.0016449,21.426047,42.0015902",way/248508284,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Sopotsko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.575133,41.9944029,21.575133,41.9942124,21.5753138,41.9942124,21.5753138,41.9944029,21.575133,41.9944029",way/263871750,,,,,,restaurant,yes,,Doma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4373419,41.9931566,21.437324,41.9931039,21.4374587,41.9930786,21.4374766,41.9931313,21.4373419,41.9931566",way/279392654,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Kуќа,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4413794,41.9945243,21.4414052,41.9943789,21.4415907,41.9943971,21.4415735,41.9944944,21.4415649,41.9945425,21.4413794,41.9945243",way/305533452,Cкoпje,Skopje,MK,1000,Кеј 13 Ноември,restaurant,yes,,Ресторан Кej,,36,,,,,,Restoran Kej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4144957,42.0000105,21.4146125,41.9999935,21.414643,42.0001094,21.4145262,42.0001265,21.4144957,42.0000105",way/305647156,Cкoпje,Skopje,MK,1000,Горан Стефановски,restaurant,yes,,Бравос,,4,,regional;pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4294738,41.9892188,21.429442,41.9891793,21.4297853,41.9890215,21.42981,41.989061,21.4294738,41.9892188",way/332382509,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Od Nas Za Vas,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.3925268,42.0017442,21.3924203,42.0017564,21.3924181,42.0017456,21.3923655,42.0017517,21.3923474,42.0016649,21.3925065,42.0016466,21.3925268,42.0017442",way/344078719,Cкoпje,Skopje,MK,1000,Варшавска,restaurant,commercial,2,Скара Бар,,70,,regional,,info@skarabar.mk,,,,+389 75 727110,http://skarabar.mk/,yes,,,Skara Bar,,,yes,separated,,,,,,,,,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00-24:00
,,,Polygon,"21.4130599,41.9947479,21.4132028,41.994726,21.4132662,41.9949548,21.4131232,41.9949767,21.4131064,41.994916,21.4130599,41.9947479",way/357827837,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Воденица,,,,italian,,,,Vodenica Mulino,,,www.vodenicamulino.com.mk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4130298,41.9949277,21.4130363,41.9949513,21.4129192,41.9949692,21.4129015,41.9947172,21.4130453,41.9946952,21.4130599,41.9947479,21.4131064,41.994916,21.4130298,41.9949277",way/357827839,Cкoпje,Skopje,MK,1000,Митрополит Теодосиј Гологанов,restaurant,yes,,Дукат,,79,,regional,,gostilnicadukat@gmail.com,,Gostilnica Dukat,,+389 2 3211011,,,,,,Mitroplit Teodosij Gologanov,,yes,separated,,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 08:00-24:00; Sa,Su 00:00-01:00,08:00-24:00"
,,,Polygon,"21.3917968,42.0019216,21.3917728,42.0018049,21.3919375,42.0017862,21.3919615,42.0019029,21.3917968,42.0019216",way/358611648,Cкoпje,Skopje,MK,1000,Лондонска,restaurant,yes,1,Ресторан 14,,,,regional,,,,Restaurant 14,,+389 2 3076411,http://www.restoran14.com.mk/,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4060452,42.0139138,21.4057899,42.0139252,21.4057663,42.0136349,21.4060216,42.0136234,21.4060452,42.0139138",way/360117574,Cкoпje,Skopje,MK,1000,,restaurant,commercial,,Ден и Ноќ,,,,regional,,,,Day and Night,,,http://www.replek.com.mk/DeniNok/zaNas.htm,,,,Den i Nok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4197218,41.9867688,21.4198171,41.9867469,21.4198126,41.9867362,21.4199486,41.986705,21.4199785,41.986777,21.4198479,41.986807,21.4198605,41.9868374,21.4197599,41.9868605,21.4197218,41.9867688",way/361977245,Cкoпje,Skopje,MK,1000,Партенија Зографски,restaurant,yes,,Корнер / Баба Цана,,34,,regional,,,,Korner / Baba Cana,,+38923126390;+38970386589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00 - 00:00
,,,Polygon,"21.4198035,42.0011296,21.419697,42.0010269,21.4198196,42.0009567,21.419926,42.0010594,21.4198035,42.0011296",way/363752338,Cкoпje,,MK,1000,Дебарца,restaurant,yes,,Skopski Merak,,51,,regional,,,,,,,http://www.skopskimerak.mk/,,,,,,,yes,separated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Su 00:00-01:00,08:00-24:00"
,,,Polygon,"21.3905221,42.0440872,21.3904625,42.0439692,21.3906635,42.0439132,21.3907231,42.0440312,21.3905221,42.0440872",way/365998801,,,,,,restaurant,yes,,Aktiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4258875,42.0037336,21.4255207,42.0033765,21.4257373,42.0032584,21.4261086,42.0036092,21.4258875,42.0037336",way/379884574,,,,,Јордан Хаџиконстантинов Џинот,restaurant,yes,,Томче Софка,,14,,,,,,Tomche Sofka,,,http://hotelimakedonija.com.mk/mk/Hotel/62/Hotel-Tomce-Sofka-Skopje,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4403034,41.9900801,21.4401899,41.9899792,21.4403123,41.9899031,21.4404259,41.9900041,21.4403034,41.9900801",way/379896010,,,,,,restaurant,yes,,Калабалак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4258958,41.9900338,21.4257641,41.9898791,21.4260203,41.9897585,21.4261521,41.9899133,21.4258958,41.9900338",way/388871332,Cкoпje,Skopje,MK,1000,50-та дивизија,restaurant,yes,,Јавна Соба,,22,,regional,,contact@publicroom.org,,Public Room,,+389 2 6092650,http://publicroom.org/contact.html,,,,,50 Divizija,,,no,,,,,,,,,,,,Open Huis,Public Room,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00-24:00
,,,Polygon,"21.5872068,41.9826589,21.5874736,41.9823557,21.5877167,41.9824739,21.5874499,41.9827771,21.5872068,41.9826589",way/389881384,,,,,,restaurant,yes,,Rozenberg,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.428733,42.0489143,21.4285056,42.0488876,21.4285619,42.0486228,21.4285635,42.0486154,21.4287909,42.048642,21.428733,42.0489143",way/390108507,,,,,,restaurant,commercial,,Imperial,,,,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4014006,42.0014841,21.4013393,42.0012367,21.4014503,42.0012215,21.4015116,42.0014689,21.4014006,42.0014841",way/409026453,Cкoпje,Skopje,MK,1000,Париска,restaurant,yes,,Restoran Olive,,,,regional,,info@olive.mk,,,,+389 (0)2 3 06 66 23,https://www.facebook.com/olive.skopje/,yes,,,,Pariska,,yes,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 09:00-24:00
,,,Polygon,"21.3946164,42.0399529,21.3947237,42.0397337,21.3951206,42.0398134,21.3949114,42.0400206,21.3946164,42.0399529",way/415864951,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4393091,41.9895548,21.4392256,41.9896051,21.4392,41.9896205,21.4390791,41.9895097,21.4391882,41.989444,21.4393091,41.9895548",way/445237139,,,,,,restaurant,yes,,Ла Тана,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4395182,41.9897115,21.4393952,41.9897856,21.4393406,41.9897355,21.4393779,41.989713,21.4394636,41.9896614,21.4395182,41.9897115",way/445237140,,,,,,restaurant,yes,,Амиго,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4393779,41.989713,21.4393206,41.9896604,21.4392997,41.989673,21.4392651,41.9896413,21.4393717,41.9895771,21.4394636,41.9896614,21.4393779,41.989713",way/445237144,,,,,,restaurant,yes,,Кај Злате,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4380534,42.001077,21.4380982,42.0011503,21.4378789,42.0012244,21.437834,42.001151,21.4380534,42.001077",way/445837935,,,,,,restaurant,yes,,Галерија 7,,,,turkish,,,,,,,,,,Galerija 7,Galerry 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.5905509,41.9908873,21.5906175,41.9907718,21.5909801,41.9908873,21.5909135,41.9910028,21.5905509,41.9908873",way/447904291,,,,,,restaurant,yes,,Black Pearl,,,,regional,,,,,,,,,,,,,,yes,outside,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4458789,42.0115576,21.4457689,42.0113783,21.4459218,42.0113444,21.4460023,42.0114978,21.4458789,42.0115576",way/467607832,,,,,Сараевска,restaurant,yes,,Erdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4464811,42.0112168,21.4465937,42.0110514,21.4467037,42.0110654,21.4466648,42.0112617,21.4464811,42.0112168",way/467607833,,,,,Сараевска,restaurant,yes,,Vesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4452486,42.0118222,21.4451159,42.0117495,21.4452473,42.0116478,21.4453801,42.0117246,21.4452486,42.0118222",way/467607834,,,,,Сараевска,restaurant,hotel,,Alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4453807,42.0116633,21.4454129,42.0115885,21.4455229,42.0116144,21.4454893,42.0116822,21.4453807,42.0116633",way/467607835,,,,,Сараевска,restaurant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4352835,42.0082512,21.4352728,42.0081715,21.4354498,42.0081596,21.4354498,42.0082552,21.4352835,42.0082512",way/471096720,,,,,,restaurant,yes,,Dielli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4357864,42.0120289,21.4357971,42.0119412,21.4359634,42.0119292,21.4359634,42.0120448,21.4357864,42.0120289",way/471105231,,,,,Пере Тошев,restaurant,yes,,Golden Mili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4286975,42.001337,21.4288264,42.00138,21.4288066,42.0014129,21.4287588,42.001397,21.4287342,42.0014378,21.428653,42.0014108,21.4286975,42.001337",way/474873952,,,,,,restaurant,yes,,Кај Жабарот,,,,,,,,,,,,,,Жабарот,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.479167,42.0033885,21.4790807,42.0033573,21.4791075,42.0033164,21.4791938,42.0033477,21.479167,42.0033885",way/476186155,,,,,,restaurant,yes,,Гостилница Мерак,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4220295,42.0024104,21.4219665,42.0023474,21.4221601,42.0022405,21.4222231,42.0023035,21.4220295,42.0024104",way/477026719,,,,,,restaurant,,,Читална,,,,regional,,,,Chitalna,,,,,,,,,,,outside,,,,,,,,,,,,,,,no,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4221597,42.0021193,21.4220761,42.0020304,21.4221979,42.001967,21.4222816,42.0020559,21.4221597,42.0021193",way/477026724,,,,,,restaurant,,,Чардак,,,,regional,,,,Chardak,,,,,,,Cardak,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4204319,42.0009268,21.4203368,42.0010112,21.4201615,42.0009111,21.4202503,42.0008254,21.4204319,42.0009268",way/477325813,,,,,,restaurant,yes,,Наша софра,,,,,,,,Nasha Sofra,,,,,,,Naša Sofra,,,,,,,,,,,,,,,,,,,,,Скопје,стоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4203688,42.0015986,21.4205376,42.0015138,21.4205993,42.0015815,21.4204305,42.0016664,21.4203688,42.0015986",way/477325815,,,,,,restaurant,yes,,Дебар Маало,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4208159,42.0012623,21.4209043,42.0011463,21.4210507,42.0012113,21.4210149,42.0012456,21.4210737,42.0012838,21.4210035,42.0013505,21.4208159,42.0012623",way/477325816,Cкoпje,Skopje,MK,1000,Отон Жупанчич,restaurant,yes,,Гурмет,,3,,regional,,gurmet@restorani.com.mk,,,,,,,,,Gurmet,,,,,,,,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
