latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:city:en,addr:country,addr:postcode,amenity,building,description,name,name:en,type,wikidata,wikipedia,addr:housenumber,addr:street,addr:street:en,barrier,fax,phone,website,wheelchair,name:pl,addr:housename,operator,email,contact:website,int_name,operator:en,building:levels,name:de,name:mk
,,,Polygon,"21.4532139,41.9998592,21.4545155,42.0001128,21.4542726,42.0008179,21.4538549,42.0021461,21.4538236,42.0022475,21.4517388,42.0021549,21.4501735,42.0033441,21.449838,42.0032023,21.4491184,42.0027232,21.450652,42.0011903,21.4513414,42.0005012,21.4528305,42.0004749,21.4532139,41.9998592",way/59339418,,,,,university,,,Природно Математички Факултет,,,,,,,,,,,,,,,Св. Кирил и Методиј,,,,,,,
,,,Polygon,"21.4247474,41.9888231,21.4246432,41.9887029,21.4248859,41.9885866,21.4248519,41.9885474,21.4251305,41.988414,21.4251707,41.9883947,21.4250535,41.9882596,21.4251423,41.988217,21.4252555,41.9883475,21.4253138,41.9883196,21.4255254,41.9885637,21.4250804,41.9887769,21.425011,41.9886969,21.4247474,41.9888231",way/163003846,Cкoпje,Skopje,MK,1000,university,yes,,Фармацевтски Факултет,Faculty of Farmacy,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4576881,42.0023257,21.4576881,42.0021631,21.4582371,42.0021565,21.458441,42.0021541,21.4584791,42.0017373,21.4587235,42.0017405,21.4586966,42.0021711,21.4589828,42.00219,21.4589721,42.0023534,21.4585644,42.0023335,21.4585108,42.0027202,21.4582908,42.0027162,21.4582997,42.0023305,21.4581119,42.0023265,21.4580816,42.0027122,21.457833,42.0027172,21.4578295,42.0025549,21.4578402,42.0023289,21.4576881,42.0023257",way/175094125,Cкoпje,Skopje,MK,1000,university,office,,Факултет за земјоделски науки и храна,,,,,66,Булевар Александар Македонски,,,,,,,,,Св. Кирил и Методиј,,,,,,,
,,,Polygon,"21.4578051,42.0035547,21.4572829,42.0032406,21.4572663,42.003127,21.4573389,42.002808,21.4598696,42.0028967,21.4598707,42.0040736,21.459914,42.0045049,21.4597827,42.0044778,21.4595858,42.0044372,21.4592266,42.0043103,21.4578051,42.0035547",way/175162439,,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4537933,42.0027085,21.4538236,42.0022475,21.4542726,42.0008179,21.4545155,42.0001128,21.45691,42.0004687,21.4570283,42.0019756,21.4567187,42.0019365,21.456502,42.0026138,21.4560852,42.0031384,21.4548624,42.0029582,21.4537933,42.0027085",way/175162442,,,,,university,,,Студентски Дом Стив Наумов,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4574035,42.0026692,21.4572034,42.0009208,21.4597515,42.0010376,21.4598068,42.0028047,21.4577672,42.0026897,21.4574035,42.0026692",way/175162443,,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.409454,41.9933364,21.4093092,41.993155,21.4097222,41.9929776,21.410079,41.9928261,21.4103686,41.9926985,21.410475,41.9928215,21.4100682,41.9930394,21.4095532,41.9932707,21.409454,41.9933364",way/176176612,,,,,university,,,Православен Богословски факултет - Свети Климент Охридски,Faculty of Theology,,,,29,Загрепска,,,,,,,,,,,http://www.pbf.edu.mk/,Bogoslovski Fakultet,,,,
,,,Polygon,"21.3894953,42.0001447,21.3891176,41.9986345,21.3891334,41.9986054,21.3891606,41.9985795,21.3891951,41.9985593,21.3892414,41.9985484,21.3911159,41.9982928,21.3911714,41.998308,21.3912186,41.9983341,21.3912388,41.9983658,21.3914934,41.9994749,21.3909162,41.9995561,21.3909284,41.9996148,21.39096,41.9997671,21.3907239,41.9999664,21.3894953,42.0001447",way/176705494,,,,,university,,,Студентски дом „Гоце Делчев“,Studentski dom Goce Delcev,,,,,,,,,,,,,,,,,Students' dormitory Goce Delčev,,,,
,,,Polygon,"21.4181726,42.0007554,21.4177427,42.0002941,21.41789,42.0002311,21.4177641,41.9998758,21.4197215,41.999488,21.4197977,41.9996837,21.4199334,42.0000322,21.4193209,42.0001899,21.4193517,42.0004421,21.4190378,42.0005067,21.4187095,42.0005884,21.4184865,42.0006516,21.4181726,42.0007554",way/177017261,,,,,university,,,,,,,mk:Универзитет „Св. Кирил и Методиј“,,,,,,,,,,,Универзитетот „Св. Кирил и Методиј“,,,,Ss. Cyril and Methodius University,,,
,,,Polygon,"21.4736712,41.9935736,21.4731436,41.9928224,21.4740851,41.9924347,21.4747274,41.9922662,21.4748908,41.9928364,21.4747406,41.9931474,21.4736712,41.9935736",way/179091097,,,,,university,,,ФОН Универзитет,,,Q1142380,,,,,,,,,,,,,,,FON University,,,,
,,,Polygon,"21.4521561,42.0321666,21.4520756,42.0319036,21.452307,42.0318313,21.452199,42.0306445,21.4538405,42.0304373,21.4540658,42.031274,21.4535026,42.0314135,21.4535401,42.0316486,21.453862,42.0316207,21.4538942,42.0317681,21.4530359,42.0319315,21.4527677,42.0321427,21.4521561,42.0321666",way/182436642,,,,,university,,,Институт за лозарство и винарство,Institute of Viticulture and Enology,,,,,,,,,,,,,,,,,Institut za lozarstvo i vinarstvo,,,,
,,,Polygon,"21.4577672,42.0026897,21.4577698,42.0023846,21.4581698,42.0023788,21.4581544,42.0026761,21.4577672,42.0026897",way/459340458,Cкoпje,,,,university,public,,Факултет за дизајн и технологии на мебел и ентериер,,,,,3,16 Македонска Бригада,,,,,http://www.fdtme.ukim.edu.mk,,,,,,,Faculty of Design and Technology of Furniture and Interior,,3,,
,,,Polygon,"21.4589893,42.0025141,21.4589847,42.0024169,21.4592508,42.0024169,21.4592462,42.0025176,21.4589893,42.0025141",way/459340459,Cкoпje,,,,university,yes,,Лабораторија за тестирање мебел - ФДТМЕ,,,,,3,16 Македонска Бригада,,,,+389(2)6154666,,,,,,,,,,0,,
,,,Polygon,"21.4868299,42.0046886,21.4872403,42.0044514,21.4874552,42.0039529,21.4876897,42.0038512,21.4882303,42.0041368,21.4887253,42.0040545,21.4892529,42.0037883,21.4895981,42.0038706,21.490523,42.0038125,21.4909204,42.0041513,21.4906794,42.0047757,21.487364,42.0053856,21.4868299,42.0046886",way/476221909,,,,,university,,,Поранешен ФОН,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4131563,42.0091177,21.412893,42.0091539,21.41252,42.0085941,21.4133327,42.0084008,21.4135285,42.0089448,21.4131563,42.0091177",way/588687226,,,,,university,,,Институт за Сточарство,,,,,92-a,Булевар Илинден,,,,,,,,,Св. Кирил и Методиј,,,,,,,
,,,Polygon,"21.4351077,41.9993175,21.435129,41.9993162,21.4351259,41.9992883,21.4351012,41.9990647,21.4350571,41.9990674,21.4350421,41.9989315,21.4351059,41.9989276,21.4350995,41.9988696,21.4351375,41.9988673,21.4352239,41.998862,21.4352335,41.9989488,21.4353519,41.9989415,21.4351723,41.9990571,21.4352721,41.9990488,21.4354179,41.9992574,21.4354208,41.9992838,21.4355603,41.9992753,21.435569,41.9993545,21.4352482,41.9993741,21.4352507,41.9993973,21.4351174,41.9994054,21.4351077,41.9993175",way/989817719,Cкoпje,Skopje,MK,1000,university,yes,,South East European University,,,Q2304477,en:South East European University,,,,,,,https://www.seeu.edu.mk/,,,,,,,,,,,
41.9973091,21.4351329,,Point,,node/1867248510,,,,,university,,,Факултет за музичка уметност,,,,,,,,,,,,,,,,,,,,,,
41.9898623,21.4246243,,Point,,node/3832632320,,,,,university,,,Медицински Факултет,,,,,,,,,,,,,,,,,,,,,,
42.0017934,21.4348281,,Point,,node/6054050089,,,,,university,,,Меѓународен балкански универзитет,,,Q1642969,,,Самоилова,,,,,,,,,,,,International Balkan University,,,Universität,Меѓународен балкански универзитет
